candidate_id,rank,score,reasoning
CAND_0068351,14,0.8454,"Lead AI Engineer with 6.4 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.73); verified jd-relevant skills: qdrant, elasticsearch, peft, lora; ideal 6.4 yoe (jd target: 5–9); acceptable location (delhi); actively engaged and highly responsive."
CAND_0067866,15,0.8453,"Senior Software Engineer (ML) with 6.4 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.68); verified jd-relevant skills: embeddings, elasticsearch, lora, peft; ideal 6.4 yoe (jd target: 5–9); preferred location (pune/noida); actively engaged and highly responsive."
CAND_0000031,16,0.8443,"Recommendation Systems Engineer with 6.0 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: faiss, pinecone, embeddings, information retrieval; ideal 6.0 yoe (jd target: 5–9); acceptable location (hyderabad); actively engaged and highly responsive."
CAND_0088025,17,0.8409,"Staff Machine Learning Engineer with 8.6 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.77); verified jd-relevant skills: pinecone, qlora, rag, lora; ideal 8.6 yoe (jd target: 5–9); non-preferred location (jaipur); actively engaged and highly responsive; strong open-source activity (github score 75/100)."
CAND_0081846,18,0.8400,"Lead AI Engineer with 6.7 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.74); verified jd-relevant skills: information retrieval, learning to rank, elasticsearch, pytorch; ideal 6.7 yoe (jd target: 5–9); non-preferred location (jaipur); actively engaged and highly responsive."
CAND_0049538,19,0.8387,"Applied ML Engineer with 5.8 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.73); verified jd-relevant skills: learning to rank, opensearch, vector search, milvus; ideal 5.8 yoe (jd target: 5–9); non-preferred location (jaipur); actively engaged and highly responsive; strong open-source activity (github score 91/100)."
CAND_0036184,20,0.8345,"Recommendation Systems Engineer with 6.0 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: qlora, faiss, semantic search, embeddings; ideal 6.0 yoe (jd target: 5–9); non-preferred location (trivandrum); actively engaged and highly responsive."
CAND_0090155,21,0.8325,"ML Engineer with 5.8 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: milvus, qdrant, pinecone, peft; ideal 5.8 yoe (jd target: 5–9); preferred location (pune/noida); actively engaged and highly responsive; strong open-source activity (github score 76/100)."
CAND_0071974,22,0.8307,"Senior AI Engineer with 7.8 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.75); verified jd-relevant skills: lora, learning to rank, weaviate, peft; ideal 7.8 yoe (jd target: 5–9); non-preferred location (vizag); actively engaged and highly responsive; strong open-source activity (github score 83/100)."
CAND_0043860,23,0.8300,"Junior ML Engineer with 6.1 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: semantic search, information retrieval, qdrant, pytorch; ideal 6.1 yoe (jd target: 5–9); non-preferred location (bhubaneswar); actively engaged and highly responsive."
CAND_0062247,24,0.8293,"AI Engineer with 7.3 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.73); verified jd-relevant skills: pinecone, vector search, qdrant, rag; ideal 7.3 yoe (jd target: 5–9); non-preferred location (kochi); actively engaged and highly responsive."
CAND_0093912,25,0.8284,"Senior Data Scientist with 5.3 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.72); verified jd-relevant skills: milvus, embeddings, vector search, learning to rank; ideal 5.3 yoe (jd target: 5–9); non-preferred location (chandigarh); actively engaged and highly responsive; strong open-source activity (github score 82/100)."
CAND_0068811,26,0.8261,"Applied ML Engineer with 8.0 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.66); verified jd-relevant skills: vector search, qdrant, embeddings, pinecone; ideal 8.0 yoe (jd target: 5–9); preferred location (pune/noida); explicitly open to work."
CAND_0072688,27,0.8260,"Data Scientist with 6.9 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.64); verified jd-relevant skills: milvus, lora, semantic search, nlp; ideal 6.9 yoe (jd target: 5–9); preferred location (pune/noida); actively engaged and highly responsive."
CAND_0025640,28,0.8244,"AI Research Engineer with 5.6 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: semantic search, peft, information retrieval, faiss; ideal 5.6 yoe (jd target: 5–9); non-preferred location (jaipur); actively engaged and highly responsive."
CAND_0008295,29,0.8240,"AI Research Engineer with 6.5 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.73); verified jd-relevant skills: peft, weaviate, qlora; ideal 6.5 yoe (jd target: 5–9); preferred location (pune/noida); actively engaged and highly responsive."
CAND_0037566,30,0.8238,"Machine Learning Engineer with 6.9 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.71); verified jd-relevant skills: pinecone, nlp, lora, qlora; ideal 6.9 yoe (jd target: 5–9); acceptable location (bangalore); explicitly open to work; strong open-source activity (github score 73/100)."
CAND_0066999,31,0.8235,"Recommendation Systems Engineer with 5.9 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: opensearch, faiss, pinecone, information retrieval; ideal 5.9 yoe (jd target: 5–9); acceptable location (delhi); actively engaged and highly responsive; strong open-source activity (github score 94/100)."
CAND_0028527,32,0.8209,"AI Specialist with 5.4 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.71); verified jd-relevant skills: qdrant, nlp, qlora, vector search; ideal 5.4 yoe (jd target: 5–9); non-preferred location (austin); actively engaged and highly responsive."
CAND_0007009,33,0.8201,"Recommendation Systems Engineer with 7.9 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.68); verified jd-relevant skills: weaviate, embeddings, learning to rank, peft; ideal 7.9 yoe (jd target: 5–9); preferred location (pune/noida); explicitly open to work; strong open-source activity (github score 69/100)."
CAND_0018549,34,0.8196,"Recommendation Systems Engineer with 6.8 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.72); verified jd-relevant skills: weaviate, elasticsearch, qdrant, milvus; ideal 6.8 yoe (jd target: 5–9); non-preferred location (coimbatore); actively engaged and highly responsive."
CAND_0041610,35,0.8195,"Recommendation Systems Engineer with 6.7 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.72); verified jd-relevant skills: lora, elasticsearch, opensearch, learning to rank; ideal 6.7 yoe (jd target: 5–9); non-preferred location (indore); explicitly open to work."
CAND_0024878,36,0.8194,"AI Specialist with 5.7 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: elasticsearch, nlp, lora, information retrieval; ideal 5.7 yoe (jd target: 5–9); non-preferred location (vizag); actively engaged and highly responsive."
CAND_0098454,37,0.8194,"AI Specialist with 6.6 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: vector search, nlp, opensearch, pinecone; ideal 6.6 yoe (jd target: 5–9); non-preferred location (indore); actively engaged and highly responsive."
CAND_0061265,38,0.8165,"Recommendation Systems Engineer with 6.6 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.70); verified jd-relevant skills: qdrant, learning to rank, vector search, qlora; ideal 6.6 yoe (jd target: 5–9); acceptable location (delhi); concerns: 120-day notice period; strong open-source activity (github score 80/100)."
CAND_0044222,39,0.8157,"AI Engineer with 7.7 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.73); verified jd-relevant skills: vector search, opensearch, qdrant, weaviate; ideal 7.7 yoe (jd target: 5–9); non-preferred location (vizag); explicitly open to work."
CAND_0008425,40,0.8156,"Senior NLP Engineer with 7.8 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.73); verified jd-relevant skills: learning to rank, qdrant, sentence transformers, nlp; ideal 7.8 yoe (jd target: 5–9); non-preferred location (kolkata); actively engaged and highly responsive."
CAND_0068932,41,0.8156,"ML Engineer with 5.2 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.70); verified jd-relevant skills: milvus, rag, opensearch; ideal 5.2 yoe (jd target: 5–9); preferred location (pune/noida); actively engaged and highly responsive; strong open-source activity (github score 70/100)."
CAND_0081852,42,0.8154,"Senior Data Scientist with 5.9 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.70); verified jd-relevant skills: semantic search, milvus, weaviate, vector search; ideal 5.9 yoe (jd target: 5–9); acceptable location (delhi); explicitly open to work; strong open-source activity (github score 88/100)."
CAND_0096142,43,0.8142,"Applied ML Engineer with 5.0 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.68); verified jd-relevant skills: lora, weaviate, pinecone, rag; ideal 5.0 yoe (jd target: 5–9); acceptable location (hyderabad); concerns: 120-day notice period; strong open-source activity (github score 80/100)."
CAND_0005311,44,0.8138,"AI Research Engineer with 5.7 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: lora, semantic search, qdrant, qlora; ideal 5.7 yoe (jd target: 5–9); acceptable location (mumbai); explicitly open to work; strong open-source activity (github score 70/100)."
CAND_0053591,45,0.8136,"AI Engineer with 5.3 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.70); verified jd-relevant skills: embeddings, milvus, opensearch, sentence transformers; ideal 5.3 yoe (jd target: 5–9); non-preferred location (toronto); actively engaged and highly responsive; strong open-source activity (github score 76/100)."
CAND_0024407,46,0.8124,"Civil Engineer with 5.3 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.66); verified jd-relevant skills: semantic search, rag, sentence transformers, pinecone; ideal 5.3 yoe (jd target: 5–9); preferred location (pune/noida); actively engaged and highly responsive."
CAND_0079387,47,0.8115,"AI Engineer with 6.9 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.67); verified jd-relevant skills: sentence transformers, vector search, opensearch, qlora; ideal 6.9 yoe (jd target: 5–9); non-preferred location (trivandrum); actively engaged and highly responsive; strong open-source activity (github score 64/100)."
CAND_0073314,48,0.8113,"Senior Software Engineer (ML) with 5.2 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.59); verified jd-relevant skills: peft, milvus, elasticsearch, pytorch; ideal 5.2 yoe (jd target: 5–9); preferred location (pune/noida); actively engaged and highly responsive; strong open-source activity (github score 67/100)."
CAND_0015967,49,0.8110,"Senior Software Engineer (ML) with 5.4 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.73); verified jd-relevant skills: qlora, pinecone, semantic search, embeddings; ideal 5.4 yoe (jd target: 5–9); acceptable location (hyderabad); explicitly open to work."
CAND_0010541,50,0.8099,"AI Research Engineer with 6.2 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.73); verified jd-relevant skills: pinecone, weaviate, lora, qdrant; ideal 6.2 yoe (jd target: 5–9); acceptable location (hyderabad); explicitly open to work."
CAND_0081686,51,0.8098,"Search Engineer with 6.0 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.70); verified jd-relevant skills: embeddings, faiss, milvus, semantic search; ideal 6.0 yoe (jd target: 5–9); non-preferred location (austin); actively engaged and highly responsive."
CAND_0040955,52,0.8084,"Junior ML Engineer with 6.6 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.64); verified jd-relevant skills: sentence transformers, vector search, peft, embeddings; ideal 6.6 yoe (jd target: 5–9); preferred location (pune/noida)."
CAND_0042029,53,0.8076,"Senior Data Scientist with 6.5 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.70); verified jd-relevant skills: pytorch, nlp, rag, elasticsearch; ideal 6.5 yoe (jd target: 5–9); acceptable location (delhi); actively engaged and highly responsive; strong open-source activity (github score 79/100)."
CAND_0050876,54,0.8076,"Applied ML Engineer with 6.0 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.70); verified jd-relevant skills: qdrant, faiss, opensearch, qlora; ideal 6.0 yoe (jd target: 5–9); non-preferred location (kolkata); actively engaged and highly responsive; strong open-source activity (github score 86/100)."
CAND_0076163,55,0.8070,"NLP Engineer with 6.9 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.68); verified jd-relevant skills: weaviate, semantic search, pytorch, sentence transformers; ideal 6.9 yoe (jd target: 5–9); non-preferred location (chandigarh); actively engaged and highly responsive; strong open-source activity (github score 85/100)."
CAND_0082086,56,0.8052,"Senior Software Engineer (ML) with 6.0 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.63); verified jd-relevant skills: faiss, pinecone, pytorch, qlora; ideal 6.0 yoe (jd target: 5–9); acceptable location (delhi); actively engaged and highly responsive; strong open-source activity (github score 83/100)."
CAND_0002120,57,0.8027,"ML Engineer with 6.5 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: rag, information retrieval, pinecone, embeddings; ideal 6.5 yoe (jd target: 5–9); non-preferred location (berlin); actively engaged and highly responsive."
CAND_0052706,58,0.8023,"AI Research Engineer with 5.1 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.68); verified jd-relevant skills: pinecone, lora, information retrieval, weaviate; ideal 5.1 yoe (jd target: 5–9); non-preferred location (coimbatore); actively engaged and highly responsive."
CAND_0076251,59,0.8018,"Search Engineer with 7.6 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.73); verified jd-relevant skills: weaviate, learning to rank, elasticsearch, semantic search; ideal 7.6 yoe (jd target: 5–9); non-preferred location (bhubaneswar); explicitly open to work."
CAND_0047280,60,0.8012,"Mechanical Engineer with 5.2 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.66); verified jd-relevant skills: embeddings, pinecone, information retrieval, vector search; ideal 5.2 yoe (jd target: 5–9); acceptable location (delhi); explicitly open to work."
CAND_0040200,61,0.8007,"AI Research Engineer with 5.5 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.70); verified jd-relevant skills: faiss, nlp, weaviate, milvus; ideal 5.5 yoe (jd target: 5–9); preferred location (pune/noida); explicitly open to work."
CAND_0073007,62,0.7998,"AI Specialist with 5.8 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: milvus, pytorch, embeddings, faiss; ideal 5.8 yoe (jd target: 5–9); acceptable location (bangalore); actively engaged and highly responsive; strong open-source activity (github score 66/100)."
CAND_0046434,63,0.7997,"Sales Executive with 7.8 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.63); verified jd-relevant skills: sentence transformers, embeddings, vector search, rag; ideal 7.8 yoe (jd target: 5–9); preferred location (pune/noida); explicitly open to work."
CAND_0049615,64,0.7995,"ML Engineer with 5.1 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.72); verified jd-relevant skills: nlp, qlora, peft, pytorch; ideal 5.1 yoe (jd target: 5–9); non-preferred location (indore); explicitly open to work; strong open-source activity (github score 78/100)."
CAND_0049896,65,0.7989,"Search Engineer with 7.3 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.73); verified jd-relevant skills: sentence transformers, pytorch, information retrieval, nlp; ideal 7.3 yoe (jd target: 5–9); non-preferred location (vizag); explicitly open to work."
CAND_0007052,66,0.7987,"ML Engineer with 6.5 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.64); verified jd-relevant skills: rag, weaviate, milvus, vector search; ideal 6.5 yoe (jd target: 5–9); preferred location (pune/noida); explicitly open to work."
CAND_0041568,67,0.7987,"Search Engineer with 5.2 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.74); verified jd-relevant skills: peft, weaviate, vector search, semantic search; ideal 5.2 yoe (jd target: 5–9); non-preferred location (sydney); explicitly open to work."
CAND_0094759,68,0.7987,"Lead AI Engineer with 8.6 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.75); verified jd-relevant skills: learning to rank, semantic search, qdrant, vector search; ideal 8.6 yoe (jd target: 5–9); acceptable location (mumbai); concerns: very low recruiter response rate (11%); strong open-source activity (github score 76/100)."
CAND_0005649,69,0.7986,"Senior Data Scientist with 7.4 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: qlora, semantic search, weaviate, rag; ideal 7.4 yoe (jd target: 5–9); acceptable location (delhi); explicitly open to work; strong open-source activity (github score 81/100)."
CAND_0006521,70,0.7979,"Sales Executive with 7.1 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.67); verified jd-relevant skills: semantic search, sentence transformers, information retrieval, faiss; ideal 7.1 yoe (jd target: 5–9); preferred location (pune/noida)."
CAND_0070653,71,0.7977,"AI Specialist with 5.0 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.70); verified jd-relevant skills: qlora, faiss, pytorch, sentence transformers; ideal 5.0 yoe (jd target: 5–9); acceptable location (delhi)."
CAND_0001218,72,0.7961,"AI Specialist with 6.4 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.74); verified jd-relevant skills: opensearch, nlp, rag, semantic search; ideal 6.4 yoe (jd target: 5–9); non-preferred location (san francisco); explicitly open to work."
CAND_0024620,73,0.7956,"AI Engineer with 5.9 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.73); verified jd-relevant skills: semantic search, information retrieval, peft, elasticsearch; ideal 5.9 yoe (jd target: 5–9); non-preferred location (new york); explicitly open to work."
CAND_0043637,74,0.7953,"Junior ML Engineer with 5.5 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.66); verified jd-relevant skills: pytorch, milvus, qlora, learning to rank; ideal 5.5 yoe (jd target: 5–9); acceptable location (delhi); actively engaged and highly responsive."
CAND_0037160,75,0.7947,"Data Scientist with 6.0 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: weaviate, vector search, embeddings, semantic search; ideal 6.0 yoe (jd target: 5–9); acceptable location (mumbai); actively engaged and highly responsive."
CAND_0051292,76,0.7945,"Applied ML Engineer with 5.2 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: faiss, vector search, peft, nlp; ideal 5.2 yoe (jd target: 5–9); non-preferred location (trivandrum); explicitly open to work; strong open-source activity (github score 62/100)."
CAND_0070202,77,0.7945,"Machine Learning Engineer with 5.1 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.72); verified jd-relevant skills: embeddings, qdrant, lora, learning to rank; ideal 5.1 yoe (jd target: 5–9); non-preferred location (jaipur)."
CAND_0027691,78,0.7942,"NLP Engineer with 6.5 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.59); verified jd-relevant skills: lora, peft, weaviate, embeddings; ideal 6.5 yoe (jd target: 5–9); preferred location (pune/noida); actively engaged and highly responsive."
CAND_0070398,79,0.7939,"Machine Learning Engineer with 7.2 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.73); verified jd-relevant skills: rag, faiss, embeddings, pytorch; ideal 7.2 yoe (jd target: 5–9); non-preferred location (kochi); concerns: 120-day notice period; strong open-source activity (github score 63/100)."
CAND_0024526,80,0.7935,"Sales Executive with 5.2 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.63); verified jd-relevant skills: sentence transformers, rag, embeddings, faiss; ideal 5.2 yoe (jd target: 5–9); acceptable location (mumbai); actively engaged and highly responsive."
CAND_0052335,81,0.7928,"Applied ML Engineer with 6.4 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.68); verified jd-relevant skills: pytorch, learning to rank, nlp, semantic search; ideal 6.4 yoe (jd target: 5–9); non-preferred location (berlin); actively engaged and highly responsive."
CAND_0080766,82,0.7926,"Staff Machine Learning Engineer with 8.8 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.68); verified jd-relevant skills: lora, elasticsearch, natural language processing, qlora; ideal 8.8 yoe (jd target: 5–9); non-preferred location (coimbatore); actively engaged and highly responsive."
CAND_0074735,83,0.7918,"Applied ML Engineer with 5.5 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: rag, weaviate, information retrieval, semantic search; ideal 5.5 yoe (jd target: 5–9); non-preferred location (chandigarh); actively engaged and highly responsive; strong open-source activity (github score 88/100)."
CAND_0043228,84,0.7912,"Applied ML Engineer with 6.8 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: nlp, vector search, sentence transformers, weaviate; ideal 6.8 yoe (jd target: 5–9); non-preferred location (chennai)."
CAND_0004972,85,0.7909,"ML Engineer with 6.0 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.68); verified jd-relevant skills: semantic search, rag, pytorch, opensearch; ideal 6.0 yoe (jd target: 5–9); acceptable location (gurgaon); actively engaged and highly responsive."
CAND_0052682,86,0.7909,"NLP Engineer with 6.6 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.64); verified jd-relevant skills: qlora, semantic search, faiss, pytorch; ideal 6.6 yoe (jd target: 5–9); non-preferred location (vizag); actively engaged and highly responsive; strong open-source activity (github score 72/100)."
CAND_0092255,87,0.7909,"ML Engineer with 5.2 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.61); verified jd-relevant skills: pytorch, weaviate, semantic search, opensearch; ideal 5.2 yoe (jd target: 5–9); preferred location (pune/noida); explicitly open to work; strong open-source activity (github score 78/100)."
CAND_0044883,88,0.7907,"AI Engineer with 6.3 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.75); verified jd-relevant skills: embeddings, qlora, pytorch, semantic search; ideal 6.3 yoe (jd target: 5–9); non-preferred location (berlin); actively engaged and highly responsive; strong open-source activity (github score 70/100)."
CAND_0065139,89,0.7907,"AI Research Engineer with 5.2 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.68); verified jd-relevant skills: qlora, rag, semantic search, pytorch; ideal 5.2 yoe (jd target: 5–9); non-preferred location (bhubaneswar); actively engaged and highly responsive."
CAND_0091899,90,0.7907,"Senior Software Engineer (ML) with 5.8 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.69); verified jd-relevant skills: semantic search, sentence transformers, faiss, nlp; ideal 5.8 yoe (jd target: 5–9); acceptable location (delhi)."
CAND_0011383,91,0.7902,"Mechanical Engineer with 6.6 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.63); verified jd-relevant skills: information retrieval, rag, embeddings, semantic search; ideal 6.6 yoe (jd target: 5–9); preferred location (pune/noida); actively engaged and highly responsive."
CAND_0093883,92,0.7902,"AI Research Engineer with 5.0 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.68); verified jd-relevant skills: qdrant, semantic search, lora, embeddings; ideal 5.0 yoe (jd target: 5–9); non-preferred location (bhubaneswar); explicitly open to work."
CAND_0096466,93,0.7896,"HR Manager with 7.0 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.62); verified jd-relevant skills: pinecone, vector search, rag, semantic search; ideal 7.0 yoe (jd target: 5–9); preferred location (pune/noida)."
CAND_0070514,94,0.7895,"AI Specialist with 5.5 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.61); verified jd-relevant skills: pinecone, peft, lora, faiss; ideal 5.5 yoe (jd target: 5–9); acceptable location (bangalore); actively engaged and highly responsive."
